Employee_ID,Dept_ID,Status,Salary,Performance_Score,Remote_Work
EMP1000,D01,Active,59767.65,Average,True
EMP1003,D02,Inactive,69450.99,Good,True
EMP1004,D03,Active,109324.61,Poor,False
EMP1005,D04,Inactive,88642.84,Good,False
EMP1007,D03,Inactive,94497.91,Average,True
EMP1008,D02,Inactive,115565.82,Excellent,True
EMP1010,D05,Active,72081.71,Average,False
EMP1012,D06,Active,89295.77,Excellent,False
EMP1014,D02,Active,97633.68,Excellent,True
EMP1015,D07,Pending,117975.49,Good,True
EMP1016,D08,Inactive,94867.33,Poor,False
EMP1017,D09,Pending,100377.65,Average,True
EMP1019,D10,Pending,91926.12,Average,True
EMP1020,D06,Active,111460.67,Excellent,True
EMP1021,D11,Active,96182.56,Good,False
EMP1022,D12,Inactive,115023.94,Average,True
EMP1023,D13,Pending,80667.01,Excellent,False
EMP1024,D14,Inactive,91181.61,Good,True
EMP1025,D15,Pending,66025.92,Average,False
EMP1026,D16,Inactive,83979.01,Average,False
EMP1027,D17,Active,56785.16,Excellent,True
EMP1028,D13,Active,95741.88,Excellent,False
EMP1029,D01,Active,63411.31,Excellent,True
EMP1030,D18,Inactive,111214.02,Good,True
EMP1031,D08,Active,114845.69,Excellent,True
EMP1032,D17,Active,78072.82,Average,False
EMP1033,D19,Inactive,79610.52,Average,False
EMP1034,D18,Active,90542.62,Excellent,True
EMP1035,D11,Inactive,114357.1,Excellent,True
EMP1037,D16,Pending,52781.92,Average,True
EMP1038,D02,Pending,66708.02,Good,True
EMP1039,D20,Active,93481.15,Poor,False
EMP1040,D16,Pending,59271.96,Excellent,True
EMP1041,D21,Active,108362.15,Excellent,False
EMP1045,D06,Pending,61310.74,Average,True
EMP1047,D12,Active,58921.19,Average,True
EMP1048,D02,Active,57195.55,Excellent,False
EMP1050,D05,Pending,104767.05,Excellent,False
EMP1051,D02,Active,111051.67,Good,False
EMP1052,D19,Inactive,105674.18,Good,False
EMP1053,D19,Inactive,54859.45,Average,False
EMP1055,D22,Active,91759.99,Excellent,True
EMP1056,D12,Active,112965.33,Good,False
EMP1057,D11,Pending,100360.1,Excellent,False
EMP1058,D09,Pending,93620.88,Good,False
EMP1059,D22,Pending,72832.8,Excellent,True
EMP1060,D13,Inactive,102369.42,Average,True
EMP1061,D04,Inactive,64712.79,Excellent,True
EMP1062,D17,Pending,85782.18,Excellent,True
EMP1063,D23,Pending,93348.26,Poor,False
EMP1064,D24,Active,53234.96,Good,False
EMP1065,D13,Pending,100284.21,Excellent,False
EMP1066,D02,Pending,112486.19,Excellent,True
EMP1067,D24,Pending,82518.49,Poor,True
EMP1068,D25,Pending,119152.47,Poor,True
EMP1070,D19,Active,94636.3,Poor,False
EMP1071,D26,Active,70000.97,Average,True
EMP1073,D17,Inactive,82614.7,Average,True
EMP1074,D27,Active,111645.97,Good,True
EMP1075,D21,Inactive,112414.91,Good,False
EMP1076,D18,Inactive,52031.74,Good,True
EMP1077,D28,Pending,51887.65,Good,False
EMP1078,D29,Active,82318.89,Good,True
EMP1079,D25,Inactive,103286.08,Average,False
EMP1080,D03,Active,87759.33,Average,False
EMP1081,D30,Pending,102796.32,Good,False
EMP1082,D16,Active,83149.27,Poor,True
EMP1083,D01,Inactive,92412.49,Excellent,True
EMP1084,D20,Pending,115022.1,Good,False
EMP1085,D31,Active,98343.01,Poor,False
EMP1086,D08,Active,118869.1,Excellent,True
EMP1088,D03,Inactive,112410.25,Good,True
EMP1089,D02,Pending,68905.77,Average,False
EMP1090,D13,Pending,72561.32,Excellent,True
EMP1091,D28,Inactive,92723.22,Excellent,True
EMP1092,D06,Inactive,74837.75,Poor,False
EMP1094,D32,Active,83326.52,Average,True
EMP1095,D33,Active,98425.1,Average,True
EMP1096,D12,Inactive,119764.2,Average,False
EMP1097,D21,Inactive,58445.91,Excellent,False
EMP1100,D34,Pending,98819.22,Good,False
EMP1101,D11,Inactive,83509.99,Average,False
EMP1102,D09,Active,84422.26,Average,False
EMP1103,D10,Inactive,119574.27,Average,True
EMP1105,D07,Inactive,93471.91,Poor,False
EMP1106,D31,Inactive,55683.12,Poor,True
EMP1107,D03,Inactive,91566.78,Good,True
EMP1108,D01,Pending,81782.19,Good,False
EMP1110,D34,Active,71532.83,Good,True
EMP1111,D03,Pending,98981.36,Good,True
EMP1112,D11,Active,80242.01,Good,True
EMP1113,D05,Pending,110236.18,Average,True
EMP1114,D04,Active,86327.47,Average,False
EMP1115,D07,Pending,84420.81,Average,False
EMP1116,D21,Pending,110041.32,Average,False
EMP1117,D29,Pending,81837.81,Good,True
EMP1118,D32,Active,110855.72,Poor,False
EMP1119,D22,Pending,84894.52,Excellent,True
EMP1120,D23,Active,80668.13,Good,True
EMP1121,D08,Active,61086.47,Excellent,True
EMP1122,D14,Inactive,95339.68,Poor,True
EMP1125,D19,Pending,107438.46,Good,True
EMP1127,D12,Inactive,115299.66,Good,True
EMP1129,D35,Active,117537.71,Excellent,False
EMP1130,D09,Pending,51074.33,Excellent,True
EMP1131,D19,Inactive,98489.32,Excellent,False
EMP1134,D15,Pending,57035.51,Poor,True
EMP1135,D33,Active,75092.43,Excellent,True
EMP1138,D36,Active,82567.73,Poor,True
EMP1139,D19,Pending,94725.71,Poor,False
EMP1140,D06,Inactive,83824.56,Poor,False
EMP1142,D27,Pending,113743.19,Good,True
EMP1143,D22,Active,63309.24,Good,False
EMP1144,D35,Active,105202.73,Excellent,True
EMP1145,D33,Inactive,79085.22,Good,True
EMP1147,D03,Active,102790.6,Good,False
EMP1149,D07,Pending,57584.23,Average,True
EMP1151,D29,Active,53174.28,Average,True
EMP1152,D05,Pending,77205.21,Average,False
EMP1155,D15,Inactive,113118.73,Average,False
EMP1156,D06,Active,107693.38,Average,True
EMP1158,D16,Pending,106913.71,Average,False
EMP1160,D14,Inactive,105190.21,Good,True
EMP1161,D20,Active,79467.24,Poor,False
EMP1162,D19,Pending,57633.78,Poor,True
EMP1164,D30,Inactive,113679.06,Poor,True
EMP1165,D16,Active,69251.12,Poor,True
EMP1166,D12,Inactive,85388.58,Poor,True
EMP1168,D13,Active,79873.48,Average,False
EMP1169,D29,Active,108224.03,Poor,True
EMP1170,D10,Active,116963.72,Average,True
EMP1171,D36,Inactive,114109.06,Average,True
EMP1173,D33,Pending,58041.97,Poor,True
EMP1174,D12,Pending,94988.94,Good,False
EMP1175,D18,Pending,71628.93,Excellent,False
EMP1176,D10,Pending,54870.98,Good,False
EMP1177,D08,Active,79388.27,Average,True
EMP1178,D01,Pending,55946.99,Average,False
EMP1180,D06,Pending,74162.1,Excellent,False
EMP1182,D06,Active,67886.37,Poor,False
EMP1183,D29,Active,76614.52,Good,True
EMP1184,D13,Active,51311.91,Excellent,False
EMP1186,D06,Pending,108241.81,Excellent,True
EMP1187,D05,Inactive,78031.49,Good,True
EMP1188,D18,Active,85733.83,Excellent,True
EMP1189,D36,Pending,60338.29,Excellent,False
EMP1190,D10,Active,103140.67,Excellent,False
EMP1191,D12,Inactive,114690.8,Poor,True
EMP1192,D25,Active,80954.56,Good,False
EMP1194,D20,Pending,118415.8,Good,True
EMP1195,D12,Pending,81481.36,Excellent,False
EMP1196,D07,Pending,117040.57,Good,True
EMP1197,D27,Active,67342.06,Good,True
EMP1199,D08,Active,94162.06,Average,True
EMP1200,D27,Inactive,67639.7,Excellent,True
EMP1201,D11,Pending,114172.25,Good,True
EMP1202,D27,Active,89124.54,Excellent,True
EMP1203,D35,Pending,113871.36,Average,False
EMP1205,D24,Active,70705.45,Good,False
EMP1206,D16,Pending,60797.69,Average,True
EMP1207,D03,Inactive,100371.0,Poor,True
EMP1208,D10,Active,117591.76,Good,False
EMP1209,D08,Inactive,103860.7,Average,True
EMP1210,D10,Active,67500.22,Average,True
EMP1212,D32,Active,80623.08,Excellent,True
EMP1213,D20,Inactive,77751.78,Excellent,False
EMP1214,D06,Active,115157.81,Good,False
EMP1215,D14,Inactive,83071.85,Poor,False
EMP1216,D04,Active,67914.67,Excellent,True
EMP1217,D06,Inactive,53342.46,Poor,False
EMP1218,D03,Pending,51150.47,Excellent,False
EMP1219,D26,Active,74697.12,Average,True
EMP1220,D22,Active,88085.74,Excellent,True
EMP1221,D09,Pending,118672.76,Poor,False
EMP1222,D33,Active,95997.31,Average,False
EMP1223,D33,Pending,106945.62,Average,False
EMP1224,D31,Active,100123.15,Average,False
EMP1225,D14,Active,52933.42,Poor,True
EMP1227,D20,Inactive,112264.06,Good,False
EMP1228,D25,Pending,75714.28,Good,True
EMP1229,D29,Active,92171.73,Poor,False
EMP1230,D34,Inactive,70694.8,Average,True
EMP1231,D29,Inactive,52964.86,Good,True
EMP1233,D27,Pending,116695.26,Good,False
EMP1234,D14,Active,95161.4,Excellent,False
EMP1237,D32,Inactive,58243.27,Average,False
EMP1238,D22,Pending,64012.48,Poor,True
EMP1239,D02,Inactive,106735.93,Average,True
EMP1240,D30,Pending,70325.36,Average,False
EMP1241,D23,Active,118959.28,Average,True
EMP1242,D33,Pending,75823.78,Average,False
EMP1244,D04,Active,94963.7,Good,False
EMP1245,D27,Pending,103744.71,Average,False
EMP1246,D16,Inactive,61337.69,Average,True
EMP1247,D22,Active,63741.13,Poor,True
EMP1248,D01,Pending,56539.99,Excellent,True
EMP1249,D08,Pending,73633.37,Good,True
EMP1250,D34,Pending,90373.99,Good,False
EMP1252,D02,Inactive,81748.09,Average,True
EMP1253,D17,Inactive,73813.48,Average,False
EMP1254,D28,Inactive,89315.59,Average,False
EMP1255,D26,Active,56776.82,Poor,False
EMP1257,D25,Pending,84913.18,Average,True
EMP1258,D32,Inactive,65060.11,Excellent,True
EMP1259,D32,Pending,82941.08,Poor,False
